id,label,type,Codigo,Provincia,Canton,Parroquia,Distrito,Area,Jefatura,Unidad_operativa,Tipo_atencion,Zona_administrativa,Poblacion_2009,Tipo_via,Direccion_unidad_operativa,Telefono,Tipologia,Nivel,Atencion,Dotacion_camas,Geolatlon,Lat,Lon,Easting,Northing,Cobertura,No_licencia,U_o_tambien_conocida_como,Licencia_cond,Poblacion_2010,Licencia,Distancia_mint_Jefatura,Distancia_km_jefatura,Direccion_alternativa/0,Referencia_unidad_operativa
30-011005252,30-011005252,Item,11005252,IMBABURA,PIMAMPIRO,SAN FRANCISCO DE SIGSISPAMBA,10D01,1,Centro de Salud No. 1,Sigsipamba,AMBULATORIO,1,1944,3er. ORDEN,CALLE PRINCIPAL,,CSR,1ER NIVEL,,,"0.2977215,-77.9119024",0.2977215,-77.9119024,84379093628,1003295534657,CANTONAL,,,88,1979,,76.6,150,,
31-011005450,31-011005450,Item,11005450,IMBABURA,PIMAMPIRO,CHUGA,10D01,1,Centro de Salud No. 1,Chugá,AMBULATORIO,1,1582,3er. ORDEN,,,PS,1ER NIVEL,,,"0.3751767,-77.9045567",0.3751767,-77.9045567,84460679792,1004152929925,CANTONAL,,CHUGA,,1611,95,70.8,145,,FRENTE A LA ESCUELA
32-011005451,32-011005451,Item,11005451,IMBABURA,PIMAMPIRO,PIMAMPIRO,10D01,1,Centro de Salud No. 1,Chalguayaco,AMBULATORIO,1,102,3er. ORDEN,13 de diciembre y Jaime Roldós,62673091,PS,1ER NIVEL,,,"0.4242068,-77.9628588",0.4242068,-77.9628588,838108,10046954,CANTONAL,,,,1039,98,50.1,100,,
33-011004010,33-011004010,Item,11004010,IMBABURA,OTAVALO,JORDAN,10D02,4,San Luis de Otavalo,San Luis de Otavalo,AMBULATORIO / HOSPIT,1,43033,,SUCRE S/N Y ESTADOS UNIDOS,62921270,HB,2DO NIVEL,,75,"0.2334773,-78.2596135",0.2334773,-78.2596135,805051,10025836,CANTONAL,,,88.36,43809,,,,,
34-011004250,34-011004250,Item,11004250,IMBABURA,OTAVALO,SAN LUIS,10D02,4,San Luis de Otavalo,Punyaro,AMBULATORIO,1,3187,1er. ORDEN,"CALLE SUCRE, PUNYARO",,CSU,1ER NIVEL,,,"0.2218214,-78.2687268",0.2218214,-78.2687268,804036,10024546,CANTONAL,,,,3245,92,1,2,,
35-011004251,35-011004251,Item,11004251,IMBABURA,OTAVALO,JORDAN,10D02,4,San Luis de Otavalo,Agato,AMBULATORIO,1,425,1er. ORDEN,CALLE IMBABURA,62640007,CSU,1ER NIVEL,,,"0.2440989,-78.2315423",0.2440989,-78.2315423,808178,10027012,CANTONAL,,,,4327,97,5.7,12,,JUNTO AL ESTADIO
36-011004252,36-011004252,Item,11004252,IMBABURA,OTAVALO,JORDAN,10D02,4,San Luis de Otavalo,La Compañía,AMBULATORIO,1,2657,1er. ORDEN,CIRCUNVALACION,,CSU,1ER NIVEL,,,"0.2207101,-78.2219423",0.2207101,-78.2219423,809248,10024424,CANTONAL,,LA COMPANIA,84,2705,,7.6,16,,300 M. SUR PARQUE
37-011004253,37-011004253,Item,11004253,IMBABURA,OTAVALO,EUGENIO ESPEJO,10D02,4,San Luis de Otavalo,Eugenio Espejo,AMBULATORIO,1,7223,1er. ORDEN,CIRCUNVALACION,,CSR,1ER NIVEL,,,"0.2106476,-78.2458389",0.2106476,-78.2458389,806586,10023310,CANTONAL,,,,7354,90,4,8,,300 M. SUR PARQUE
38-011004254,38-011004254,Item,11004254,IMBABURA,OTAVALO,GONZALES SUAREZ,10D02,4,San Luis de Otavalo,Gonzales Suárez,AMBULATORIO,1,64,1er. ORDEN,,,CSR,1ER NIVEL,,,"0.1788405,-78.2021750",0.1788405,-78.202175,811451,10019791,CANTONAL,,GONZALEZ SUAREZ,,6516,96,11,20,,JUNTO AL COLEGIO
39-011004255,39-011004255,Item,11004255,IMBABURA,OTAVALO,SAN JOSE QUICHINCHE,10D02,4,San Luis de Otavalo,Quichinche,AMBULATORIO,1,5283,2do. ORDEN,CALLE PRINCIPAL,,CSR,1ER NIVEL,,,"0.2373511,-78.2897472",0.2373511,-78.2897472,801694,10026264,CANTONAL,,,89,5378,,5,10,,JUNTO AL PARQUE
40-011004256,40-011004256,Item,11004256,IMBABURA,OTAVALO,SAN JUAN DE ILUMAN,10D02,4,San Luis de Otavalo,Ilumán,AMBULATORIO,1,8692,1er. ORDEN,CALLE PRINCIPAL,,CSR,1ER NIVEL,,,"0.2683996,-78.2361509",0.2683996,-78.2361509,807664,10029701,CANTONAL,,,88,8849,,7.6,16,,JUNTO ALA DESTACAMENTO DE POLICIA
41-011004257,41-011004257,Item,11004257,IMBABURA,OTAVALO,SAN PABLO,10D02,4,San Luis de Otavalo,San Pablo,AMBULATORIO,1,10955,1er. ORDEN,AZCAZU Y BIJUNIN,62918525,CSR,1ER NIVEL,,,"0.1933782,-78.1901359",0.1933782,-78.1901359,812792,10021400,CANTONAL,,,,11153,96,12.7,25,CALLE AZCAZUBI E IBARRA ESQ.,
42-011004258,42-011004258,Item,11004258,IMBABURA,OTAVALO,SAN RAFAEL (CAB. S. MIGUEL DE PAMPLONA),10D02,4,San Luis de Otavalo,San Rafael,AMBULATORIO,1,5729,1er. ORDEN,CALLE BOLIVAR,62918509,CSR,1ER NIVEL,,,"0.192191,-78.2243887",0.192191,-78.2243887,808976,10021268,CANTONAL,,,,5832,98,7.5,15,,DIAGONAL AL PARQUE PRINCIPAL
43-011004259,43-011004259,Item,11004259,IMBABURA,OTAVALO,SELVA ALEGRE,10D02,4,San Luis de Otavalo,Selva Alegre,AMBULATORIO,1,205,3er. ORDEN,CALLE PRINCIPAL,,CSR,1ER NIVEL,,,"0.2478266,-78.5751115",0.2478266,-78.5751115,769908,10027417,CANTONAL,,,81,2087,,80.8,190,,
44-011004450,44-011004450,Item,11004450,IMBABURA,OTAVALO,DR. MIGUEL EGAS CABEZAS (PEGUCHE),10D02,4,San Luis de Otavalo,Peguche,AMBULATORIO,1,509,1er. ORDEN,BARRIO ATAHUALPA,,PS,1ER NIVEL,,,"0.2485210,-78.2465857",0.248521,-78.2465857,806502,10027501,CANTONAL,,,,5182,93,3.3,7,,
45-011004451,45-011004451,Item,11004451,IMBABURA,OTAVALO,PATAQUI,10D02,4,San Luis de Otavalo,Pataqui,AMBULATORIO,1,432,3er. ORDEN,CALLE PRINCIPAL,,PS,1ER NIVEL,,,"0.1761538,-78.3675249",0.1761538,-78.3675249,793031,10019491,CANTONAL,79,,,440,,25,60,,
46-011004452,46-011004452,Item,11004452,IMBABURA,OTAVALO,SAN JOSE DE QUICHINCHE,10D02,4,San Luis de Otavalo,Gualsaqui,AMBULATORIO,1,3521,3er. ORDEN,,,PS,1ER NIVEL,,,"0.2524582,-78.3189278",0.2524582,-78.3189278,798443,10027935,CANTONAL,,,,3585,96,12.2,35,,JUNTO A LA ESCUELA VIA INTAG
47-011004260,47-011004260,Item,11004260,IMBABURA,OTAVALO,SAN LUIS,10D02,4,Por determinar,Azama,AMBULATORIO,1,Desconocido,2er. ORDEN,AZAMA,,SCR,1ER NIVEL,,,"0.2548567,-78.2934420",0.2548567,-78.293442,801282,10028201,CANTONAL,,,,,,6,20,,
48-011002010,48-011002010,Item,11002010,IMBABURA,ANTONIO ANTE,ATUNTAQUI,10D02,2,Antonio Ante,Atuntaqui,AMBULATORIO / HOSPIT,1,17339,,OLMEDO 16-29 Y JUAN DE VELASCO,62906107,HB,2DO NIVEL,,15,"0.3341441,-78.2129037",0.3341441,-78.2129037,810252,10036977,CANTONAL,"77,01",,,17652,,,,,
49-011002250,49-011002250,Item,11002250,IMBABURA,ANTONIO ANTE,ANDRADE MARIN,10D02,2,Antonio Ante,Andrade Marin,AMBULATORIO,1,578,1er. ORDEN,ABDON CALDERON Y  JUNIN,,CSU,1ER NIVEL,,,"0.3230199,-78.2120630",0.3230199,-78.212063,810346,10035746,CANTONAL,,,,5884,93,,,OLMEDO 16-29 Y JUAN DE VELASCO,
50-011002251,50-011002251,Item,11002251,IMBABURA,ANTONIO ANTE,SAN J. DE CHALTURA,10D02,2,Antonio Ante,Chaltura,AMBULATORIO,1,3417,1er. ORDEN,OBISPO MOSQUERA Y ABDON CALDERON,,CSR,1ER NIVEL,,,"0.3580759,-78.1933376",0.3580759,-78.1933376,812431,10039626,CANTONAL,,,85,3478,,,,ABDON CALDERON Y JUNI S/N,
51-011002252,51-011002252,Item,11002252,IMBABURA,ANTONIO ANTE,SAN FCO. NATABUELA,10D02,2,Antonio Ante,Natabuela,AMBULATORIO,1,5159,1er. ORDEN,PLAZA ARGENTINA NATABUELA,,CSR,1ER NIVEL,,,"0.3430025,-78.1909635",0.3430025,-78.1909635,812696,10037958,CANTONAL,,,,5252,96,,,OBISPO MOSQUERA S/N Y ABDON CALDERON,
52-011002253,52-011002253,Item,11002253,IMBABURA,ANTONIO ANTE,SAN ROQUE,10D02,2,Antonio Ante,San Roque,AMBULATORIO,1,10345,1er. ORDEN,BOLIVAR Y AUGUSTO BUITRON,,CSR,1ER NIVEL,,,"0.3069939,-78.2303518",0.3069939,-78.2303518,808309,10033972,CANTONAL,,,,10532,92,,,PLAZA ARGENTINA NATABUELA,
53-011002450,53-011002450,Item,11002450,IMBABURA,ANTONIO ANTE,IMBAYA (SAN LUIS DE COBUENDO),10D02,2,Antonio Ante,Imbaya,AMBULATORIO,1,1335,1er. ORDEN,,,PS,1ER NIVEL,,,"0.3723301,-78.1492615",0.3723301,-78.1492615,817341,10041205,CANTONAL,,,82,1360,,,,BOLIVAR S/N Y AGUSTO BUITRON,PARQUE CENTRAL DE IMBAYA
54-,54-,Item,,IMBABURA,ANTONIO ANTE,SAN ROQUE,10D02,2,Por determinar,Agualongo,,1,Desconocido,,,,CSR,1ER NIVEL,,,"0.2974705,-78.2355067",,-78.2355067,,,CANTONAL,,,,,,6,15,,
55-011003010,55-011003010,Item,11003010,IMBABURA,COTACACHI,S. FRANCISCO,10D03,3,Asdrubal de La Torre,Asdrúbal de La Torre,AMBULATORIO / HOSPIT,1,18048,,PEDRO MONCAYO 6-49 Y SEGUNDO LUIS MORENO,62915506,HB,2DO NIVEL,,16,"0.2990868,-78.2661788",0.2990868,-78.2661788,804318,10033096,CANTONAL,,,88.31,18374,,,,,
56-011003250,56-011003250,Item,11003250,IMBABURA,COTACACHI,APUELA,10D03,3,Asdrubal de La Torre,Apuela,AMBULATORIO,1,2297,3er. ORDEN,MIGUEL EGAS,62648564,CSR,1ER NIVEL,,,"0.3617737,-78.5073155",0.3617737,-78.5073155,777456,10040025,CANTONAL,,,,2338,97,67 KM,150,Garcia Moreno cerca al colegio Apuela,CERCA DEL PARQUE PRINCIPAL
57-011003251,57-011003251,Item,11003251,IMBABURA,COTACACHI,GARCIA MORENO (LLURIMAGUA),10D03,3,Asdrubal de La Torre,García Moreno,AMBULATORIO,1,5633,3er. ORDEN,,22564050,CSR,1ER NIVEL,,,"0.2332917,-78.6285744",0.2332917,-78.6285744,763954,10025808,CANTONAL,,,89,5734,,92 KM,210,,EN LA ENTRADA PRINCIPAL
58-011003252,58-011003252,Item,11003252,IMBABURA,COTACACHI,GARCIA MORENO (LLURIMAGUA),10D03,3,Asdrubal de La Torre,Las Golondrinas *,AMBULATORIO,1,512,1er. y 2do. ORDEN,MALECON,22670151,CSR,1ER NIVEL,,,"0.2404172,-78.7484311",,-78.7484311,,,CANTONAL,,,88,5218,,380 KM,360,,
59-011003253,59-011003253,Item,11003253,IMBABURA,COTACACHI,IMANTAG,10D03,3,Asdrubal de La Torre,Imantag,AMBULATORIO,1,5606,2do. ORDEN,,62648019,CSR,1ER NIVEL,,,"0.3608757,-78.2473560",0.3608757,-78.247356,806413,10039934,CANTONAL,,,88,5707,,10 KM,30,,PARQUE CENTRAL
60-011003254,60-011003254,Item,11003254,IMBABURA,COTACACHI,PEÑAHERRERA,10D03,3,Asdrubal de La Torre,Peñaherrera,AMBULATORIO,1,2405,3er. ORDEN,,62648725,CSR,1ER NIVEL,,,"0.353411,-78.5338581",0.353411,-78.5338581,774500,10039099,CANTONAL,,,89,2448,,73.4 KM,180,"Calle principal s/n, barrio Sagalapamba",FRENTE AL PARQUE
61-011003255,61-011003255,Item,11003255,IMBABURA,COTACACHI,QUIROGA,10D03,3,Asdrubal de La Torre,Quiroga,AMBULATORIO,1,669,1er. ORDEN,JUAN MORALES Y MIGUEL GARCES S/N,62916715,CSR,1ER NIVEL,,,"0.2891503,-78.2834971",0.2891503,-78.2834971,802389,10031996,CANTONAL,,,,6811,93,3 MIN,6,,
62-011003256,62-011003256,Item,11003256,IMBABURA,COTACACHI,6 DE JULIO DE  CUELLAJE,10D03,3,Asdrubal de La Torre,Cuellaje,AMBULATORIO,1,2289,3er. ORDEN,,62648073,CSR,1ER NIVEL,,,"0.4011608,-78.5251893",0.4011608,-78.5251893,775464,10044382,CANTONAL,,,,2331,94,83 KM,180,CALLE PRINCIPAL S/N,A DOS CUADRAS DEL PARQUE PRINCIPAL
63-011003258,63-011003258,Item,11003258,IMBABURA,COTACACHI,GARCIA MORENO (LLURIMAGUA),10D03,3,Por determinar,Chontal,AMBULATORIO,1,Desconocido,3er. ORDEN,CHONTAL BAJO,,CSR,1ER NIVEL,,,"0.2404172,-78.7484311",0.2404172,-78.7484311,750606,10026594,CANTONAL,59,,,,,100,120,CHONTAL,
64-011003450,64-011003450,Item,11003450,IMBABURA,COTACACHI,PLAZA GUTIERREZ (CALVARIO),10D03,3,Asdrubal de La Torre,Plaza Gutiérrez,AMBULATORIO,1,786,3er. ORDEN,,62648647,PS,1ER NIVEL,,,"0.3534626,-78.4903129",0.3534626,-78.4903129,779350,10039106,CANTONAL,,,,800,92,73 KM,180,CALLE PRINCIPAL,
65-011003451,65-011003451,Item,11003451,IMBABURA,COTACACHI,VACAS GALINDO (EL CHURO),10D03,3,Asdrubal de La Torre,Vacas Galindo,AMBULATORIO,1,1018,3er. ORDEN,,62648647,PS,1ER NIVEL,,,"0.3064072,-78.5655911",0.3064072,-78.5655911,770967,10033898,CANTONAL,,,,1036,90,77 KM,200,,A UNA CUADRA DE LA PLAZA
66-0110032,66-0110032,Item,110032,IMBABURA,COTACACHI,PLAZA GUTIERREZ (CALVARIO),10D03,3,Por determinar,Magdalena,,1,Desconocido,3er. ORDEN,BARRIO MIRAFLORES Y MAGDALENA BAJO,,PS,1ER NIVEL,,,"0.2411102,-78.7843508",0.2411102,-78.7843508,,,CANTONAL,38,,,,,103,150,,
67-0110032,67-0110032,Item,110032,IMBABURA,COTACACHI,GARCIA MORENO (LLURIMAGUA),10D03,3,Por determinar,Naranjal,,1,Desconocido,3er. ORDEN,RUMIÑAHUI,,PS,1ER NIVEL,,,"0.2793902,-78.9978697",0.2793902,-78.9978697,,,CANTONAL,32,,,,,220,330,,
68-,68-,Item,,IMBABURA,COTACACHI,GARCIA MORENO (LLURIMAGUA),10D03,3,Por determinar,Charguayacu,,1,Desconocido,,,,PS,1ER NIVEL,,,,,,,,CANTONAL,,,,,,,,,
69-010801001,69-010801001,Item,10801001,ESMERALDAS,ESMERALDAS,,08D01,,Por determinar,Dirección Provincial de Salud,,1,Desconocido,,COLON y VENEZUELA,62710123,ADM,,,,,,,,,PROVINCIAL,,,,,,,,,ENTRE VENEZUELA Y ECUADOR
70-010801010,70-010801010,Item,10801010,ESMERALDAS,ESMERALDAS,,08D01,1,Por determinar,Delfina Torres de Concha,AMBULATOR./HOSPITALIZ. /EMERG.,1,Desconocido,,AVENIDA LIBERTAD  Y MANABI PARADA 7,"062 722 778,,,,,,,,,,,,,,,,,,,,,,,,,
062 726 008",HG,AGUDO,125,"0.97634,-79.6543000",0.97634,-79.6543,64973497495,1010794497668,PROVINCIAL,,,,,,,,,FRENTE A LA CATEDRAL,
71-010801500,71-010801500,Item,10801500,ESMERALDAS,,,,,Por determinar,Unidad Móvil,,1,Desconocido,,,,UM,,UNIDAD MOVIL,,"0.95473,-79.64885",,,,,,,,,,,,,,
72-010801050,72-010801050,Item,10801050,ESMERALDAS,ESMERALDAS,5 DE AGOSTO,08D01,1,Centro  Salud Nº 1,Centro de Salud No. 1,AMBULATORIO,1,23054,,COLON y ECUADOR,"062 710 273,,,,,,,,,,,,,,,,,,,,,,,,,
062 712 261",CS,,,"0.95473,-79.64885",0.95473,-79.64885,65034245465,1010555599044,CANTONAL,68.8,,,23423,,,,AVENIDA  COLON  ENTRE VENEZUELA ECUADOR  /BARRIO AIRE LIBRE,FRENTE A LA CRUZ ROJA,
73-010801052,73-010801052,Item,10801052,ESMERALDAS,ESMERALDAS,5 DE AGOSTO,08D01,1,Por determinar,Virgen de La Esperanza* 24 Hd,HOSPITALIZACIÓN OBSTETRICA,1,Desconocido,1er. ORDEN,S/N BARRIO LA PROPICIA,062 705 001,CS,2DO NIVEL,,10,"0.9287298,-79.6576518",0.9287298,-79.6576518,649364,1010268100001,CANTONAL,,,,,,4.5,10,,DETRÁS DEL SCS. LA PROPICIA II
