No.,Puesto Institucional,Grado jerárquico o escala al que pertenece el puesto,Remuneración mensual unificada,Remuneración unificada (anual),Décimo Tercera Remuneración,Décima Cuarta Remuneración,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
91,SUPERVISOR ELÉCTRICO  ,5,"1,800.00","21,600.00","1,059.85",225.19,118.14,0,"1,403.18"
92,RELACIONADOR COMUNITARIO  ,4,"2,241.00","26,892.00","1,307.25",225.19,0,0,"1,532.44"
93,TÉCNICO LÍDER AUTOMOTRIZ ( E ) ,4,"1,015.00","12,180.00",593.83,225.19,21.15,"3,388.00","4,228.17"
94,ASISTENTE ADMINISTRATIVO  ( S ),2,620,"7,440.00",361.69,225.19,0,"2,064.00","2,650.88"
95,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
96,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
97,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
98,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
99,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",363.46,225.19,21.31,0,609.96
100,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
101,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
102,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
103,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
104,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",465.76,225.19,17.33,0,708.28
105,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
106,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
107,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
108,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",140.97,53.61,0,0,194.58
109,OPERADOR DE ISLA ( E ) ,3,620,"7,440.00",390.67,225.19,348.11,"2,765.00","3,728.97"
110,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"1,334.00","16,008.00",868.97,225.19,"1,089.42","6,167.00","8,350.58"
111,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",834.2,225.19,672.56,0,"1,731.95"
112,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
113,AYUDANTE DE PRODUCCIÓN  ,1,796,"9,552.00",466.59,225.19,27.36,0,719.14
114,ANALISTA DE CATALOGACIÓN Y MONITOREO  ,3,"2,229.00","26,748.00","1,300.25",225.19,0,0,"1,525.44"
115,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",364.05,225.19,28.36,"2,765.00","3,382.60"
116,ABOGADO  ,4,"2,500.00","30,000.00",819.43,126.53,0,0,945.96
117,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
118,TÉCNICO DE VIVEROS  ,3,"2,229.00","26,748.00","1,300.25",225.19,0,0,"1,525.44"
119,ANALISTA DE COMUNICACIÓN  ,3,"1,400.00","16,800.00",789.46,217.68,0,0,"1,007.14"
120,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",533.72,186.58,517.64,0,"1,237.94"
121,AUXILIAR DE CAFETERIA  ,1,565,"6,780.00",329.56,225.19,0,0,554.75
122,TÉCNICO INSTRUMENTISTA  ,3,"2,251.74","27,020.88","1,364.64",225.19,613.6,0,"2,203.43"
123,RESERVORISTA ( E ) ,5,"1,800.00","21,600.00","1,163.71",225.19,"1,364.50","2,905.00","5,658.40"
124,CONDUCTOR ADMINISTRATIVO  ,1,794.85,"9,538.20",451.45,225.19,845.15,0,"1,521.79"
125,SUPERVISOR RCRS ( E ) ,5,"2,017.00","24,204.00","1,176.56",225.19,0,778.8,"2,180.55"
126,ASISTENTE DE OPERACIONES  ( S ),2,620,"7,440.00",361.68,225.19,0,385,971.87
127,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",395.63,225.19,407.52,"2,765.00","3,793.34"
128,CONDUCTOR  ,1,794.85,"9,538.20",612.36,225.19,"1,784.39",0,"2,621.94"
129,TÉCNICO ELÉCTRICO OVERHAUL ( E ) ,3,620,"7,440.00",361.68,225.19,0,"2,765.00","3,351.87"
130,INGENIERO DE CORROSIÓN Y QUÍMICOS  ,5,"2,953.00","35,436.00","1,771.78",225.19,590.61,0,"2,587.58"
131,CONDUCTOR ADMINISTRATIVO  ,1,845.61,"10,147.32",567.57,225.19,891.45,0,"1,684.21"
132,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
133,AYUDANTE DE ALMACÉN  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
134,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
135,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
136,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
137,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",632.63,225.19,486.51,0,"1,344.33"
138,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
139,INGENIERO DE OPERACIONES Y COMPLETACIÓN  ,5,"2,953.00","35,436.00","1,899.95",225.19,"2,128.63",0,"4,253.77"
140,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"2,257.00","27,084.00","1,426.50",225.19,"1,318.86",0,"2,970.55"
141,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
142,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"1,334.00","16,008.00",877.71,225.19,"1,194.63","6,137.63","8,435.16"
143,TÉCNICO ELÉCTRICO (SUBESTACIONES)  ,3,"1,150.00","13,800.00",689.7,225.19,226.54,0,"1,141.43"
144,SUPERVISOR DE PROYECTOS  ,5,"3,841.00","46,092.00","2,651.34",225.19,"4,929.28",0,"7,805.81"
145,TRABAJADORA SOCIAL  ,4,"1,500.00","18,000.00",875,225.19,0,0,"1,100.19"
146,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
147,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
148,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",648.46,225.19,676.52,0,"1,550.17"
149,INGENIERO DE FACILIDADES  ( S ),5,"1,500.00","18,000.00",897.92,225.19,275,"11,900.00","13,298.11"
150,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
151,OPERADOR DE PLANTA ( E ) ,3,620,"7,440.00",361.69,225.19,0,"2,765.00","3,351.88"
152,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
153,ANALISTA DE ORIENTACION LABORAL  ,3,916,"10,992.00",534.31,225.19,0,0,759.5
154,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",363.4,225.19,20.67,0,609.26
155,RESERVORISTA  ,5,"2,953.00","35,436.00","1,785.65",225.19,756.89,0,"2,767.73"
156,ANALISTA DE PUERTOS  ,3,"1,354.00","16,248.00",789.81,225.19,0,0,"1,015.00"
157,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",838.01,225.19,718.43,0,"1,781.63"
158,INSPECTOR DE CONSTRUCCIONES  ,3,"2,500.00","30,000.00","1,474.59",225.19,195.32,0,"1,895.10"
159,TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN  ,3,"1,440.00","17,280.00",908.71,225.19,824.55,0,"1,958.45"
160,OPERADOR DE EQUIPO PESADO  ,3,"1,150.00","13,800.00",670.81,225.19,0,0,896
161,SUPERVISOR DE INSTRUMENTACIÓN  ,5,"4,097.00","49,164.00","2,389.94",225.19,0,0,"2,615.13"
162,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",639.73,225.19,571.8,0,"1,436.72"
163,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
164,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",848.22,225.19,840.7,0,"1,914.11"
165,ANALISTA PROMOTOR LABORAL  ,3,962,"11,544.00",561.19,225.19,0,0,786.38
166,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",687.02,225.19,635.24,0,"1,547.45"
167,SUPERINTENDENTE DE SEGURIDAD  ,6,"4,000.00","48,000.00","2,333.31",225.19,0,0,"2,558.50"
168,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
169,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
170,BODEGUERO DE COMBUSTIBLE  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
171,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",534.95,186.58,532.44,0,"1,253.97"
172,INGENIERO DE CORROSIÓN Y QUÍMICOS  ,5,"3,200.00","38,400.00","1,866.69",225.19,0,0,"2,091.88"
173,SUPERINTENDENTE DE RCRS ( E ) ,6,"3,849.00","46,188.00","2,245.25",225.19,0,"3,584.00","6,054.44"
174,COORDINADOR DE AUDITORÍA INTERNA  ,5,"2,880.00","34,560.00","1,680.00",225.19,0,0,"1,905.19"
175,CONSTRUCTOR COMUNITARIO  ,4,"2,119.00","25,428.00","1,236.06",225.19,0,0,"1,461.25"
176,OPERADOR DE PLANTA DE GENERACIÓN PATIO  ,3,"1,015.00","12,180.00",972.01,225.19,"4,559.03",0,"5,756.23"
177,ASISTENTE DE OPERACIONES  ,2,"1,100.00","13,200.00",641.69,225.19,0,153.33,"1,020.21"
178,INGENIERO DE SOPORTE DE INTEGRIDAD MECÁNICA  ,4,"1,499.00","17,988.00",874.44,225.19,0,0,"1,099.63"
179,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
180,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
181,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
182,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",636.67,225.19,534.98,0,"1,396.84"
183,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
184,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",371.55,225.19,118.55,0,715.29
185,SUPERVISOR RCRS  ,5,"3,300.00","39,600.00","1,925.00",225.19,0,0,"2,150.19"
186,OPERADOR DE PLANTA ( E ) ,3,627.45,"7,529.40",397.76,225.19,381.07,"2,712.50","3,716.52"
187,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ) ,3,885,"10,620.00",523,225.19,81.03,910,"1,739.22"
188,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,354.00","16,248.00",789.81,225.19,0,0,"1,015.00"
189,COORDINADOR DE CONTRATOS  ,5,"3,829.00","45,948.00","2,350.56",225.19,"1,403.96",0,"3,979.71"
190,TÉCNICO ELÉCTRICO  ,3,"1,015.00","12,180.00",149.43,56.83,0,0,206.26
191,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"1,560.00","18,720.00","1,095.74",225.19,"2,228.86","4,279.33","7,829.12"
192,TÉCNICO DE INTEGRIDAD MECÁNICA ( E ) ,3,620,"7,440.00",361.69,225.19,0,"2,765.00","3,351.88"
193,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",466.52,225.19,26.45,0,718.16
194,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",608.97,225.19,202.69,0,"1,036.85"
195,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",684.94,225.19,610.33,0,"1,520.46"
196,TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO  ,3,"1,354.00","16,248.00",789.81,225.19,0,0,"1,015.00"
197,BODEGUERO  ,2,"1,418.00","17,016.00",839,225.19,141.81,0,"1,206.00"
198,ANALISTA DE CONTROL PRESUPUESTARIO  ,3,"2,229.00","26,748.00","1,465.11",225.19,"1,978.27",0,"3,668.57"
199,INGENIERO DE OPERACIONES  ( S ),5,"3,732.00","44,784.00","2,234.02",225.19,684.2,0,"3,143.41"
200,INGENIERO DE INTEGRIDAD MECÁNICA  ,5,"2,500.00","30,000.00","1,534.70",225.19,916.67,0,"2,676.56"
201,CONSTRUCTOR COMUNITARIO  ,4,"2,000.00","24,000.00","1,166.69",225.19,0,0,"1,391.88"
202,OPERADOR DE EQUIPO  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
203,OPERADOR DE EQUIPO PESADO ( E ) ,3,620,"7,440.00",361.68,225.19,0,"2,765.00","3,351.87"
204,TÉCNICO AGROPECUARIO  ,4,"1,920.00","23,040.00","1,120.00",225.19,0,0,"1,345.19"
205,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",689.1,225.19,660.15,0,"1,574.44"
206,AYUDANTE DE PRODUCCIÓN  ,1,715.45,"8,585.40",418.7,225.19,16.4,0,660.29
207,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",636.33,225.19,27.18,0,888.7
208,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"1,755.34","21,064.08","1,129.99",225.19,"1,272.62","3,217.62","5,845.42"
209,INGENIERO DE PERFORACIÓN  ,5,"2,900.00","34,800.00","2,178.03",225.19,"5,836.24",0,"8,239.46"
210,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",729.5,225.19,"1,144.91",0,"2,099.60"
211,TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN ( E ) ,3,845.61,"10,147.32",517.92,225.19,295.82,"1,185.73","2,224.66"
212,TÉCNICO ELÉCTRICO (SUBESTACIONES) ( E ) ,3,620,"7,440.00",367.9,225.19,74.74,"2,765.00","3,432.83"
213,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
214,ANALISTA DE GESTION DE ABASTECIMIENTO  ,3,"1,541.00","18,492.00",898.94,225.19,0,0,"1,124.13"
215,INGENIERO ELÉCTRICO  ,5,"2,953.00","35,436.00","2,128.61",225.19,"4,872.45",0,"7,226.25"
216,TÉCNICO AGROPECUARIO  ,4,"2,200.00","26,400.00","1,283.31",225.19,0,0,"1,508.50"
217,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
218,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",389.64,225.19,335.68,0,950.51
219,INGENIERO DE CONTROL DE CALIDAD ( E ) ,5,"1,015.00","12,180.00",592.06,225.19,0,"8,400.00","9,217.25"
220,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",640.56,225.19,581.5,0,"1,447.25"
221,COORDINADOR DE CONTROL DE COSTOS  ,5,"2,860.00","34,320.00","1,668.31",225.19,0,0,"1,893.50"
222,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",606.87,225.19,177.49,0,"1,009.55"
223,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
224,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
225,AYUDANTE DE ALMACÉN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
226,TÉCNICO MECÁNICO ( E ) ,3,885,"10,620.00",522.24,225.19,71.91,910,"1,729.34"
227,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,541.00","18,492.00","1,066.12",225.19,"2,006.52",0,"3,297.83"
228,SUPERINTENDENTE DE OPERACIONES  ( S ),6,"3,360.00","40,320.00","1,960.00",225.19,0,"11,249.00","13,434.19"
229,COORDINADOR GENERAL DE COACTIVAS  ,6,"4,000.00","48,000.00","2,333.31",225.19,0,0,"2,558.50"
230,ASISTENTE DE CONTROL DE COSTOS  ,2,"1,360.00","16,320.00",793.31,225.19,0,0,"1,018.50"
231,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",370.16,225.19,101.85,"2,765.00","3,462.20"
232,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,604.27,"1,191.15"
233,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",679.75,225.19,548.05,0,"1,452.99"
234,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",466.39,225.19,24.88,0,716.46
235,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
236,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",810.01,225.19,382.14,0,"1,417.34"
237,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",827.84,225.19,596.14,0,"1,649.17"
238,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",831.66,225.19,642,0,"1,698.85"
239,MAQUINISTA  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
